order_id,customer_id,product_id,order_qty,order_value,order_status,payment_mode,delivery_city,delivery_state,delivery_country,shipping_fee,discount,tax,coupon_code,return_flag,return_reason,order_ts,delivery_date,load_date,source_system
ORD002037,,,,2536.42,DELIVERED,NETBANKING,Wellington,,AU,195.83,,,DISC20,,DELAY,2025-09-14 00:00:00,invalid_date,2025-01-14,
ORD001061,CUST00296,PRD1050,-1.0,,,UPI,,South,NZ,197.14,,63.14,DISC20,N,,invalid_ts,,2024-06-27,
ORD000689,CUST00525,,5.0,259.53,SHIPPED,NETBANKING,Auckland,South,NZ,97.66,,213.09,,N,DELAY,2024-02-07 00:00:00,,,
ORD003198,CUST01790,,3.0,4954.17,DELIVERED,NETBANKING,Wellington,,NZ,,,60.15,SAVE10,,,2024-01-15 00:00:00,invalid_date,invalid_date,ECOM
ORD002780,,PRD1197,-1.0,,PLACED,,Christchurch,,,26.72,,,SAVE10,Y,DAMAGED,2025-02-09 00:00:00,invalid_date,2025-01-20,
ORD002569,,PRD1055,1.0,,SHIPPED,NETBANKING,,,AU,,,38.57,DISC20,N,DELAY,,,2024-03-01,APP
ORD004807,,,-1.0,1451.24,,CARD,Christchurch,North,NZ,,,,SAVE10,N,DELAY,,2024-03-13,invalid_date,
ORD001162,CUST02614,,,,PLACED,NETBANKING,Auckland,North,NZ,,189.59,182.02,SAVE10,N,DAMAGED,invalid_ts,invalid_date,,ECOM
ORD005122,,,4.0,4783.6,SHIPPED,NETBANKING,Wellington,North,,88.5,183.85,65.88,,N,DELAY,invalid_ts,2024-04-22,2025-01-30,ECOM
ORD007779,CUST00945,PRD1191,-1.0,4598.87,PLACED,NETBANKING,Christchurch,North,AU,85.53,299.37,96.95,SAVE10,N,,2024-01-29 00:00:00,,,
ORD000101,,,-1.0,2260.1,DELIVERED,,Wellington,South,NZ,,,,DISC20,N,DELAY,invalid_ts,2025-05-23,,APP
ORD007486,CUST01056,,1.0,,SHIPPED,UPI,Wellington,North,,191.48,30.18,,SAVE10,N,DELAY,,,,ECOM
ORD004507,CUST04395,PRD1114,,950.3,DELIVERED,CARD,Wellington,North,NZ,174.25,,,,Y,,2024-12-02 00:00:00,2025-03-10,invalid_date,ECOM
ORD007381,CUST04728,PRD1048,-1.0,,SHIPPED,UPI,,North,NZ,99.87,1.36,,,N,DELAY,,,invalid_date,APP
ORD000586,,,5.0,,DELIVERED,NETBANKING,Auckland,North,,,,85.24,SAVE10,Y,DAMAGED,invalid_ts,invalid_date,,
ORD004523,CUST02482,,5.0,4457.37,SHIPPED,NETBANKING,Auckland,South,AU,,157.62,20.55,,N,,2025-01-06 00:00:00,2025-10-09,,ECOM
ORD006535,CUST03697,,,3290.68,,NETBANKING,Christchurch,,NZ,,,130.49,,N,,invalid_ts,,,APP
ORD004447,,,-1.0,2894.01,DELIVERED,NETBANKING,,,AU,,272.13,,SAVE10,N,DAMAGED,,,invalid_date,
ORD006427,CUST03350,,-1.0,,DELIVERED,UPI,Christchurch,North,NZ,96.15,,149.39,,Y,DELAY,2024-08-23 00:00:00,,2024-11-30,
ORD005943,CUST03538,PRD1038,-1.0,2480.5,SHIPPED,CARD,Auckland,North,AU,,289.15,,SAVE10,N,DAMAGED,2025-08-16 00:00:00,invalid_date,invalid_date,APP
ORD001029,,,,,DELIVERED,UPI,Wellington,South,,70.01,,,,,DELAY,2025-10-13 00:00:00,2024-11-15,invalid_date,
ORD000197,,,5.0,846.7,PLACED,CARD,Auckland,North,,36.84,,,,Y,DELAY,invalid_ts,,,
ORD000557,,PRD1182,4.0,2466.07,CANCELLED,CARD,Auckland,,AU,163.46,,280.48,DISC20,,DELAY,invalid_ts,2025-06-11,2024-11-21,
ORD002159,,PRD1016,,2188.64,SHIPPED,NETBANKING,Wellington,North,,26.82,,78.95,DISC20,,,2025-04-18 00:00:00,2024-08-29,,
ORD007402,,PRD1195,,2452.78,,,Wellington,North,AU,152.86,86.25,,SAVE10,,DAMAGED,2024-05-09 00:00:00,2024-04-28,invalid_date,
ORD006422,CUST01894,PRD1106,2.0,1959.66,CANCELLED,UPI,Christchurch,North,NZ,0.58,152.12,52.13,SAVE10,,,2024-04-25 00:00:00,2024-11-17,invalid_date,
ORD001264,CUST01571,,,3569.12,SHIPPED,,Christchurch,,,199.17,242.88,,,N,DELAY,,invalid_date,,APP
ORD004531,,,2.0,2193.43,CANCELLED,NETBANKING,Auckland,South,AU,7.34,,100.06,,,DELAY,invalid_ts,invalid_date,2024-01-10,APP
ORD005041,,PRD1071,-1.0,,DELIVERED,CARD,,South,AU,130.76,,,,,DELAY,,2024-03-05,,
ORD006463,CUST00142,,,,PLACED,NETBANKING,Christchurch,,AU,42.77,134.58,,DISC20,Y,DELAY,,,,ECOM
ORD003003,,PRD1090,-1.0,,SHIPPED,UPI,Christchurch,North,,7.75,263.38,27.15,SAVE10,N,DAMAGED,,,2025-10-20,
ORD001269,CUST01805,PRD1046,-1.0,,SHIPPED,CARD,Auckland,North,NZ,150.02,,,DISC20,,DELAY,2024-10-21 00:00:00,2024-03-07,2024-06-01,ECOM
ORD006817,CUST00877,PRD1192,,,DELIVERED,UPI,Wellington,North,,,278.05,,DISC20,,DELAY,,,,
ORD006710,,,,,DELIVERED,NETBANKING,Auckland,,NZ,,,278.67,DISC20,Y,,,,invalid_date,APP
ORD003764,,PRD1049,,1006.7,PLACED,NETBANKING,Wellington,South,NZ,,,,SAVE10,N,DAMAGED,2024-04-24 00:00:00,invalid_date,invalid_date,ECOM
ORD000122,,PRD1025,,,PLACED,UPI,Wellington,North,NZ,149.73,,,DISC20,,DELAY,invalid_ts,invalid_date,,ECOM
ORD001106,,,-1.0,3823.13,DELIVERED,NETBANKING,Christchurch,North,,186.45,,,SAVE10,,DAMAGED,invalid_ts,,2025-02-16,
ORD005892,,PRD1057,3.0,4342.31,,CARD,Christchurch,,NZ,,24.46,32.14,DISC20,,DAMAGED,invalid_ts,2024-06-28,2025-11-03,
ORD000700,CUST02449,PRD1017,-1.0,4004.27,PLACED,,Auckland,North,NZ,,50.68,,DISC20,N,,,,2024-08-02,ECOM
ORD002714,CUST03601,,,2439.91,PLACED,CARD,Wellington,South,,192.62,,276.51,SAVE10,N,DELAY,,invalid_date,invalid_date,ECOM
ORD003592,CUST01562,,,3135.92,,,Auckland,South,AU,,97.25,51.8,SAVE10,Y,DELAY,,,,ECOM
ORD000241,CUST02489,,1.0,4111.5,CANCELLED,UPI,Auckland,South,AU,179.51,163.05,,,N,DELAY,2024-01-22 00:00:00,,2024-06-05,
ORD001057,CUST01198,PRD1043,,2076.05,,,,North,,0.48,,158.34,SAVE10,N,DELAY,,,,ECOM
ORD007063,,PRD1091,,,PLACED,UPI,Wellington,,AU,,248.93,161.34,DISC20,,,2024-09-25 00:00:00,invalid_date,2025-10-06,
ORD003089,,,,1590.36,SHIPPED,CARD,,South,AU,159.48,119.36,,SAVE10,Y,,,,2024-04-29,APP
ORD004273,,PRD1003,,,PLACED,NETBANKING,,,,,215.23,127.72,,,DELAY,,2024-12-15,,APP
ORD002462,CUST04424,,,1895.1,SHIPPED,,Auckland,South,,110.22,,132.01,DISC20,N,DAMAGED,,invalid_date,,APP
ORD000392,CUST00520,,-1.0,,CANCELLED,UPI,Auckland,,AU,,,200.24,,Y,DELAY,2024-09-29 00:00:00,,2024-11-02,ECOM
ORD004053,,,,,DELIVERED,CARD,Wellington,North,NZ,135.27,40.91,,,Y,,invalid_ts,,2024-11-28,APP
ORD005136,,PRD1045,-1.0,109.87,PLACED,NETBANKING,Wellington,North,,,,160.14,,N,,invalid_ts,,2024-05-30,ECOM
ORD007559,,PRD1166,5.0,,PLACED,NETBANKING,,South,AU,18.14,,,DISC20,N,DELAY,,2025-04-05,,ECOM
ORD000576,,,,,DELIVERED,CARD,Christchurch,North,AU,,,79.56,DISC20,,,invalid_ts,invalid_date,,APP
ORD005199,,PRD1037,,4706.75,SHIPPED,NETBANKING,Christchurch,South,AU,,266.26,117.1,,Y,DELAY,invalid_ts,invalid_date,invalid_date,APP
ORD000179,CUST03542,,,3843.0,DELIVERED,UPI,Auckland,South,NZ,,,,DISC20,N,DAMAGED,2024-01-14 00:00:00,,invalid_date,ECOM
ORD001343,CUST01140,,,2664.87,CANCELLED,UPI,Christchurch,,AU,15.48,,120.23,,N,,invalid_ts,2025-10-21,2025-09-21,APP
ORD004527,CUST03165,PRD1004,-1.0,2195.1,PLACED,NETBANKING,Auckland,South,,171.89,,,SAVE10,N,DELAY,invalid_ts,2024-07-09,,APP
ORD006360,CUST01199,,1.0,308.61,CANCELLED,,Christchurch,South,,40.32,,,SAVE10,N,DELAY,,invalid_date,invalid_date,ECOM
ORD002697,,PRD1037,,,CANCELLED,CARD,Christchurch,South,,,,143.87,DISC20,,DAMAGED,,invalid_date,2024-12-16,APP
ORD001500,,,,4177.66,,UPI,,South,AU,13.18,,142.83,,,DAMAGED,invalid_ts,invalid_date,2024-09-11,APP
ORD001957,CUST02799,PRD1155,-1.0,3435.16,SHIPPED,NETBANKING,Auckland,,AU,,126.28,,DISC20,Y,DELAY,2024-04-09 00:00:00,,,ECOM
ORD002214,CUST02216,,-1.0,3235.95,,NETBANKING,Auckland,North,,,,,DISC20,Y,DELAY,,,invalid_date,ECOM
ORD002079,,PRD1132,,,PLACED,NETBANKING,Christchurch,South,NZ,,31.03,196.53,,,DELAY,,2024-05-25,,ECOM
ORD001705,,PRD1149,4.0,4500.81,PLACED,,Christchurch,South,,57.2,253.62,111.65,SAVE10,N,DAMAGED,2024-05-29 00:00:00,,invalid_date,ECOM
ORD004747,CUST04515,PRD1193,4.0,,PLACED,NETBANKING,Auckland,,NZ,106.87,,240.33,,N,,,2025-05-06,invalid_date,
ORD007672,,PRD1024,-1.0,,CANCELLED,,Auckland,North,NZ,,,79.46,,,DELAY,2025-08-08 00:00:00,2025-05-05,invalid_date,APP
ORD000359,CUST04941,,,3181.98,CANCELLED,,Christchurch,,,,,13.27,,N,DAMAGED,,2025-02-27,,
ORD003789,,PRD1117,-1.0,1011.16,DELIVERED,CARD,Wellington,North,,159.37,128.36,288.91,DISC20,,DELAY,invalid_ts,,2024-01-10,
ORD000301,CUST02640,PRD1098,4.0,3368.03,DELIVERED,NETBANKING,,,AU,48.18,204.92,,DISC20,N,DAMAGED,invalid_ts,2024-04-24,invalid_date,ECOM
ORD007430,,,,,,,,North,AU,,,,DISC20,Y,,,invalid_date,,
ORD000882,CUST02309,,,2438.48,CANCELLED,UPI,,,AU,,,,SAVE10,Y,DELAY,2024-07-03 00:00:00,2024-01-06,invalid_date,APP
ORD002006,,PRD1039,,1242.79,PLACED,UPI,Christchurch,,,96.73,64.67,266.38,SAVE10,,DAMAGED,invalid_ts,,,APP
ORD006036,,,-1.0,1850.94,,UPI,Christchurch,North,NZ,136.62,156.89,,DISC20,,,2025-08-04 00:00:00,,invalid_date,ECOM
ORD004216,CUST00677,PRD1047,1.0,1229.19,PLACED,UPI,Christchurch,,NZ,34.19,133.62,135.79,SAVE10,N,DELAY,invalid_ts,,,
ORD003944,CUST04676,,2.0,1056.89,SHIPPED,,Auckland,North,NZ,,,,,Y,,invalid_ts,2024-11-18,invalid_date,
ORD003800,CUST00148,,,,,CARD,,North,AU,60.8,280.02,234.02,,,,2025-08-17 00:00:00,,invalid_date,APP
ORD001790,,PRD1200,1.0,3293.0,,CARD,Wellington,,AU,,33.14,,SAVE10,,DELAY,,invalid_date,invalid_date,
ORD004938,,PRD1117,-1.0,3401.58,SHIPPED,NETBANKING,Wellington,South,AU,,296.48,113.91,DISC20,,DAMAGED,2024-10-03 00:00:00,invalid_date,invalid_date,APP
ORD007342,,PRD1091,,4962.95,PLACED,NETBANKING,Wellington,South,,103.1,127.36,134.54,,Y,DAMAGED,invalid_ts,2025-01-26,,ECOM
ORD004534,,PRD1051,5.0,2524.82,,CARD,Christchurch,South,AU,,,140.96,,,DELAY,invalid_ts,2025-02-10,,ECOM
ORD002350,,PRD1094,3.0,1673.99,DELIVERED,,Christchurch,North,NZ,,43.86,229.49,DISC20,,DAMAGED,invalid_ts,,2024-09-26,ECOM
ORD003364,,PRD1110,2.0,4534.78,DELIVERED,UPI,Wellington,South,AU,,,14.44,SAVE10,,,,,,
