inventory_id,store_id,product_id,available_qty,reserved_qty,damaged_qty,in_transit_qty,reorder_level,warehouse_id,supplier_id,stock_status,last_stocked_date,expiry_date,batch_no,cost_price,mrp,is_active,snapshot_ts,load_date,source_system
INV005204,STR003,PRD1001,-10.0,,18.0,59.0,37.0,WH4,SUP14,AVAILABLE,invalid_date,,B274,,1021.75,Y,,invalid_date,ERP
INV003489,,PRD1028,-10.0,,,63.0,,WH4,SUP100,OUT,2025-02-12,,B406,813.46,2103.06,N,,,WMS
INV006606,STR007,PRD1133,204.0,,,99.0,,,SUP140,AVAILABLE,2025-04-20,invalid_date,B460,,,,2025-11-11 00:00:00,,
INV001835,STR025,PRD1110,,,,75.0,31.0,WH3,,,,invalid_date,,,2966.43,Y,,2024-08-23,WMS
INV001118,STR007,,-10.0,21.0,6.0,,,,SUP87,OUT,,invalid_date,B332,,,,invalid_ts,2024-10-10,
INV004519,,PRD1096,,2.0,,37.0,50.0,,SUP53,AVAILABLE,2025-11-09,,B234,,249.37,Y,,2025-11-08,WMS
INV006385,STR020,PRD1012,,42.0,9.0,,,,SUP194,AVAILABLE,,,B122,1026.01,547.2,,2024-09-02 00:00:00,invalid_date,ERP
INV002874,,PRD1130,279.0,2.0,,,40.0,WH2,SUP48,AVAILABLE,,2024-02-23,,,2354.27,Y,2024-05-30 00:00:00,2024-04-21,WMS
INV003637,STR019,,329.0,6.0,12.0,,63.0,,SUP131,,invalid_date,2024-07-10,B391,,2824.75,,2025-06-14 00:00:00,,WMS
INV001678,STR015,PRD1014,125.0,,4.0,24.0,,,SUP146,OUT,,invalid_date,B335,,1019.13,N,,2024-10-11,WMS
INV003748,,,,1.0,,29.0,,WH5,SUP90,AVAILABLE,2025-02-04,,,,2470.57,Y,2025-08-03 00:00:00,invalid_date,ERP
INV006581,,,,42.0,6.0,,54.0,,,,,,,1005.19,,N,2025-09-26 00:00:00,2025-10-21,
INV006379,,PRD1022,-10.0,,,14.0,65.0,,,,,,B129,,2287.29,N,invalid_ts,2024-06-03,
INV005527,STR030,PRD1096,,,,,63.0,,SUP129,,,invalid_date,,,1591.52,N,invalid_ts,2024-02-10,
INV006256,STR005,,-10.0,28.0,3.0,,,WH5,,OUT,,2024-05-12,B279,,,N,invalid_ts,invalid_date,ERP
INV000009,STR027,PRD1103,,,,,37.0,WH5,,LOW,invalid_date,invalid_date,B463,,2308.11,N,2024-07-12 00:00:00,2024-02-09,
INV001234,STR025,,-10.0,17.0,13.0,,,,SUP31,,2024-08-18,2024-09-21,B452,879.82,2006.75,Y,2025-08-11 00:00:00,invalid_date,ERP
INV005825,,PRD1004,150.0,,,64.0,54.0,,SUP71,LOW,,2025-06-08,B14,993.3,,,2025-07-09 00:00:00,invalid_date,ERP
INV000513,STR030,,147.0,,,77.0,33.0,WH3,,LOW,2025-04-10,,,,,N,,invalid_date,WMS
INV006137,STR016,PRD1152,-10.0,,,17.0,90.0,,SUP144,LOW,,invalid_date,,,1226.25,N,invalid_ts,,WMS
INV001418,,,-10.0,6.0,13.0,24.0,78.0,,,OUT,invalid_date,2024-10-03,B66,,,N,2025-06-19 00:00:00,,ERP
INV004105,STR012,,,,10.0,66.0,,,,AVAILABLE,,2025-05-04,B492,1201.07,,Y,invalid_ts,2024-10-06,
INV002213,,PRD1132,363.0,43.0,10.0,,67.0,,,LOW,invalid_date,2025-04-07,B457,,1206.02,N,,invalid_date,
INV004642,,PRD1174,-10.0,,8.0,5.0,24.0,,,OUT,2024-08-31,invalid_date,B16,1160.21,2619.19,Y,invalid_ts,,ERP
INV002420,,,,,,,93.0,,SUP197,,2024-07-03,,,,,N,invalid_ts,,
INV004436,STR015,,174.0,,13.0,98.0,,WH2,SUP136,OUT,invalid_date,2025-09-01,,,691.34,Y,2025-07-18 00:00:00,2024-10-18,WMS
INV006594,STR028,,253.0,,,,52.0,,SUP16,,2024-12-21,,,,,Y,2024-06-29 00:00:00,,ERP
INV005149,,,297.0,,11.0,10.0,48.0,,SUP102,OUT,2024-09-22,invalid_date,B339,,287.91,N,,,WMS
INV002535,,PRD1114,-10.0,3.0,,15.0,,,SUP110,OUT,,2024-07-25,B247,1023.95,,N,2024-11-25 00:00:00,,
INV003526,STR014,PRD1186,65.0,,,71.0,,,SUP92,,,,,,,,invalid_ts,invalid_date,
INV004430,,,335.0,7.0,13.0,40.0,,,SUP125,AVAILABLE,,2024-05-27,B343,365.17,2970.01,Y,,,WMS
INV000896,STR020,PRD1157,121.0,,13.0,74.0,,,SUP89,LOW,,invalid_date,,92.2,2044.51,Y,,2025-01-27,WMS
INV006367,,PRD1015,,,,,,,SUP128,,,2024-09-19,,384.49,,,2025-02-16 00:00:00,,WMS
INV005272,STR004,,-10.0,46.0,,,,WH2,,LOW,,2024-04-22,B173,,,Y,,invalid_date,ERP
INV006065,STR018,PRD1171,343.0,8.0,9.0,88.0,56.0,,,OUT,invalid_date,invalid_date,B220,1309.37,448.77,N,,,WMS
INV000988,,PRD1123,-10.0,,3.0,,20.0,,SUP188,AVAILABLE,invalid_date,invalid_date,,337.65,615.31,N,,invalid_date,WMS
INV000885,STR026,PRD1106,411.0,,,82.0,29.0,WH3,,LOW,invalid_date,invalid_date,,741.28,,,invalid_ts,,ERP
INV006663,STR009,,330.0,,0.0,10.0,,WH3,,OUT,,invalid_date,B354,,762.81,,,2025-05-25,WMS
INV006070,,PRD1092,-10.0,44.0,,,40.0,,SUP111,AVAILABLE,2024-12-02,invalid_date,,1267.68,2207.57,Y,2024-05-11 00:00:00,invalid_date,
INV002082,,PRD1009,-10.0,16.0,,25.0,91.0,WH3,,OUT,invalid_date,,B454,412.6,,Y,invalid_ts,invalid_date,ERP
INV005301,,PRD1092,242.0,,19.0,,,,,LOW,2025-09-26,,B457,,,N,invalid_ts,invalid_date,
INV005250,,PRD1182,184.0,,,,21.0,WH5,,OUT,invalid_date,,,940.08,,,,,WMS
INV004412,STR024,PRD1087,80.0,1.0,5.0,,,WH4,SUP168,LOW,2024-12-02,,B332,,,N,2024-06-02 00:00:00,2024-10-11,WMS
INV003158,STR027,PRD1126,-10.0,3.0,,10.0,,WH1,SUP108,AVAILABLE,2025-09-30,,B344,,,,,2025-01-16,ERP
INV006310,,PRD1062,,,2.0,27.0,91.0,WH4,,OUT,invalid_date,,B471,,2584.86,Y,,invalid_date,WMS
INV006485,,PRD1157,288.0,,,,,,SUP136,LOW,,,B392,1188.77,2289.92,,,,ERP
INV001981,,PRD1150,,18.0,9.0,,66.0,WH5,,AVAILABLE,invalid_date,,B315,792.99,,,,invalid_date,WMS
INV000304,STR002,PRD1068,142.0,,2.0,81.0,91.0,WH4,,LOW,2024-03-31,,,643.54,,,invalid_ts,invalid_date,WMS
INV002814,,PRD1080,369.0,18.0,,,,WH3,,OUT,,,B60,,841.93,N,,invalid_date,ERP
INV003513,STR018,PRD1132,392.0,23.0,14.0,,37.0,,SUP156,LOW,2024-05-21,2025-04-15,,,1805.71,Y,,2024-04-21,WMS
INV002119,,PRD1067,,,5.0,,89.0,WH4,,,2024-06-01,invalid_date,,476.93,2485.01,Y,,invalid_date,
INV006155,,,227.0,,,,,WH1,,AVAILABLE,2024-08-03,invalid_date,B361,,,Y,,2024-05-15,
INV003132,,,449.0,,17.0,34.0,,,,OUT,invalid_date,invalid_date,,565.42,,N,2024-04-12 00:00:00,invalid_date,ERP
INV004003,STR005,,210.0,,,,,,,LOW,invalid_date,2025-02-09,,954.46,666.83,,2024-12-09 00:00:00,,
INV000251,STR022,PRD1181,-10.0,6.0,,56.0,75.0,,,AVAILABLE,,2025-05-19,B258,,,Y,invalid_ts,,WMS
INV005892,STR017,PRD1181,,,,29.0,74.0,,SUP12,AVAILABLE,2024-11-11,invalid_date,,,,,2025-06-05 00:00:00,invalid_date,ERP
INV006358,,,-10.0,,6.0,,88.0,WH4,,AVAILABLE,invalid_date,invalid_date,B341,,1644.26,,2025-04-11 00:00:00,,
INV006405,,PRD1060,-10.0,,7.0,14.0,58.0,,SUP13,LOW,2025-03-22,invalid_date,,,,N,invalid_ts,,ERP
INV002319,,,,,18.0,81.0,27.0,WH5,,AVAILABLE,2024-10-13,invalid_date,,,,Y,invalid_ts,2024-12-16,WMS
