transaction_id,store_id,terminal_id,product_id,quantity,unit_price,discount,tax,payment_type,currency,promo_code,cashier_id,is_return,return_reason,channel,gross_amount,net_amount,transaction_ts,load_date,source_system
TXN007007,STR002,,,5.0,,136.29,272.72,CARD,,DISC20,,N,,,,,,,OMS
TXN000813,,T4,PRD1084,4.0,,,,CASH,AUD,DISC20,,,DAMAGED,STORE,3795.57,1477.18,,invalid_date,OMS
TXN003911,,T4,PRD1007,-2.0,1577.88,,160.03,CASH,AUD,SALE10,,Y,,ONLINE,,414.44,invalid_ts,invalid_date,
TXN006565,,T3,PRD1004,5.0,,204.39,,CASH,AUD,DISC20,,Y,,,,,invalid_ts,invalid_date,OMS
TXN004339,STR015,,,-2.0,,294.31,,UPI,NZD,DISC20,EMP5,Y,DAMAGED,STORE,222.42,4249.0,2025-07-08 00:00:00,,OMS
TXN001340,STR010,,PRD1045,,,242.26,,CASH,NZD,,,,,ONLINE,,4626.7,,2025-02-12,POS
TXN004314,STR012,T1,,,,125.0,200.55,CASH,,,EMP357,,CANCELLED,,2904.53,,2024-11-24 00:00:00,,
TXN006728,STR006,T6,,,2096.06,,261.2,CARD,NZD,SALE10,,,DAMAGED,ONLINE,1607.7,1033.47,2025-05-09 00:00:00,invalid_date,POS
TXN002025,STR005,T4,PRD1126,-2.0,,,,CASH,,,EMP74,N,CANCELLED,ONLINE,,3646.76,invalid_ts,invalid_date,
TXN004788,STR010,T6,PRD1112,,213.88,,29.02,,NZD,SALE10,,N,DAMAGED,STORE,2440.38,,2025-11-25 00:00:00,2024-03-12,OMS
TXN002881,STR013,,,,427.63,22.45,135.32,UPI,,SALE10,EMP18,N,CANCELLED,ONLINE,458.53,3679.35,,2024-04-05,
TXN002800,,,,1.0,,,,,NZD,DISC20,EMP53,N,DAMAGED,ONLINE,1781.07,,2025-01-17 00:00:00,invalid_date,
TXN007393,STR022,T3,,,2089.19,8.15,,,NZD,SALE10,,N,DAMAGED,,1179.34,,2025-01-28 00:00:00,,
TXN007188,STR011,T6,,5.0,1511.66,,44.29,WALLET,NZD,,EMP58,,DAMAGED,ONLINE,1577.84,,,2025-06-17,OMS
TXN001140,STR028,,PRD1124,2.0,,54.62,,,NZD,,EMP195,,,STORE,808.56,,2025-09-18 00:00:00,2025-01-11,
TXN002626,,,,-2.0,,120.79,48.64,CASH,,,,Y,,STORE,2690.47,1696.94,,,POS
TXN007728,,,PRD1055,-2.0,,119.77,,UPI,AUD,DISC20,EMP368,N,CANCELLED,STORE,3775.16,3817.58,,,
TXN004235,STR021,,PRD1024,5.0,,96.99,,WALLET,NZD,,EMP252,Y,CANCELLED,,3608.08,939.37,2024-03-17 00:00:00,2024-02-22,OMS
TXN005142,STR016,T3,PRD1112,-2.0,,289.72,,WALLET,NZD,,EMP166,,,STORE,2921.0,2217.61,,,OMS
TXN002821,,,PRD1157,,,130.21,35.88,WALLET,NZD,DISC20,,,,,,,,,OMS
TXN002445,STR023,T4,PRD1048,,2610.42,186.21,107.27,WALLET,AUD,DISC20,,,DAMAGED,STORE,4968.15,,invalid_ts,2024-11-14,POS
TXN003195,,,,3.0,1406.77,274.3,,UPI,,,,,DAMAGED,STORE,1032.63,1030.38,invalid_ts,2025-09-28,
TXN004163,STR016,,,-2.0,,,230.6,WALLET,AUD,SALE10,,N,DAMAGED,,215.69,206.54,,invalid_date,
TXN002117,,T3,,-2.0,1733.41,196.23,,CASH,,SALE10,,,,,2678.93,3291.52,,,
TXN002487,STR009,T3,PRD1083,-2.0,1851.77,200.53,,,NZD,SALE10,,N,,ONLINE,,,,2025-04-27,
TXN006153,STR019,T3,PRD1144,,,62.85,,CASH,NZD,SALE10,,Y,,ONLINE,3000.33,1989.95,invalid_ts,invalid_date,OMS
TXN004166,,,,,2170.27,279.77,,WALLET,,SALE10,EMP378,N,,STORE,,4409.89,invalid_ts,invalid_date,OMS
TXN004761,,T6,PRD1034,,2538.2,290.71,,CARD,NZD,DISC20,,,,STORE,1445.88,314.1,invalid_ts,2024-11-17,POS
TXN004417,,,PRD1176,5.0,,,209.98,CARD,,,,,,,3479.67,2245.86,2024-01-08 00:00:00,,
TXN003109,STR015,T4,,1.0,,,,CASH,NZD,SALE10,EMP241,N,,ONLINE,,,,invalid_date,
TXN002298,,T2,PRD1118,,589.48,291.88,27.44,CASH,,DISC20,,Y,,,2792.81,,invalid_ts,2024-01-10,
TXN007850,STR008,,,2.0,1525.01,,288.28,CARD,NZD,,EMP151,,CANCELLED,,,2351.66,,2025-02-06,POS
