product_id,product_name,category,sub_category,brand,model_no,color,size,weight_kg,cost_price,mrp,supplier_id,manufacture_date,expiry_date,warranty_months,is_returnable,is_active,created_date,updated_ts,source_system
PRD1152,,Home,Small,Living&Co,,Black,S,,207.2,,SUP68,2025-11-08,,,Y,,,2024-09-22 00:00:00,
PRD1151,,Furniture,,Other,,Black,,,,,,2024-09-09,invalid_date,36.0,Y,N,invalid_date,2025-05-14 00:00:00,PIM
PRD1177,,Furniture,,,,,M,16.82,255.74,1377.74,,,2025-04-15,,Y,,2025-10-08,2025-11-03 00:00:00,ERP
PRD1198,Product_3,Electronics,Large,Briscoe,M2690,White,,,1115.33,,SUP99,,,24.0,Y,,,2024-07-24 00:00:00,
PRD1018,,,,Briscoe,,Red,L,9.23,1026.58,,SUP136,invalid_date,2025-05-03,,N,,invalid_date,2025-05-07 00:00:00,ERP
PRD1057,,Home,Premium,Living&Co,M768,Red,M,15.59,1013.66,249.19,SUP5,2025-09-10,invalid_date,24.0,Y,Y,invalid_date,invalid_ts,
PRD1033,Product_6,Home,Small,Briscoe,,,M,4.71,1434.58,2293.17,SUP46,invalid_date,2025-06-11,12.0,N,Y,invalid_date,invalid_ts,ERP
PRD1159,,Furniture,Small,Briscoe,,,L,,1025.67,2145.09,SUP179,,,36.0,,Y,2024-08-06,invalid_ts,
PRD1170,Product_8,Furniture,,Briscoe,M1604,,L,,1454.64,,,,invalid_date,36.0,N,,2025-01-11,,
PRD1096,,Electronics,Small,Other,,Red,,,,,SUP143,2024-01-18,invalid_date,36.0,Y,,,2024-01-25 00:00:00,ERP
PRD1045,Product_10,Furniture,Premium,Living&Co,M4538,White,L,18.67,853.89,1640.03,,2024-08-10,2025-09-09,36.0,,Y,invalid_date,2024-06-02 00:00:00,PIM
PRD1025,Product_11,Furniture,Premium,Living&Co,M4749,Black,,7.5,,2006.65,,invalid_date,2025-09-12,12.0,N,,invalid_date,2025-10-11 00:00:00,
PRD1120,,Home,Premium,Briscoe,M3761,,M,7.06,1417.5,,,invalid_date,invalid_date,,N,N,invalid_date,2024-12-19 00:00:00,PIM
PRD1075,Product_13,,Large,Living&Co,,Red,L,3.0,1398.06,,SUP8,invalid_date,,,Y,,,2024-03-22 00:00:00,
PRD1061,,Home,Large,Other,M4771,Black,M,10.61,,,SUP89,,,36.0,Y,,invalid_date,,
PRD1077,,Electronics,Large,,M1777,,L,16.24,,,SUP199,2024-01-26,2025-01-22,36.0,Y,N,2024-04-13,invalid_ts,ERP
PRD1077,,,Premium,Briscoe,,,,,,733.53,SUP107,2025-02-27,,36.0,Y,N,,,PIM
PRD1101,Product_17,Kitchen,Premium,Other,M2548,White,L,,1069.23,2538.83,SUP145,invalid_date,,,Y,,2025-06-21,invalid_ts,ERP
PRD1083,Product_18,Electronics,Premium,Living&Co,,White,L,1.95,320.93,2150.53,SUP139,invalid_date,2024-12-06,24.0,,,,invalid_ts,
PRD1097,,Electronics,Large,,,White,,,942.0,476.55,SUP125,2024-08-28,invalid_date,36.0,N,Y,invalid_date,invalid_ts,
PRD1008,Product_20,Furniture,Premium,,,White,L,3.27,,,,2024-03-05,,24.0,,,,invalid_ts,
PRD1151,,Kitchen,Small,Other,,Red,S,18.28,,237.72,SUP172,2025-05-20,2024-03-06,,N,Y,invalid_date,,PIM
PRD1003,,Home,Premium,Other,,Red,L,,806.4,730.2,,invalid_date,,24.0,N,N,2025-10-02,invalid_ts,
PRD1054,,Home,Large,,M2556,White,M,,,2682.01,,,,24.0,Y,,2025-04-06,2024-11-09 00:00:00,ERP
PRD1158,,Electronics,Large,,,Red,S,,705.93,,SUP163,invalid_date,2024-04-15,36.0,,N,,2024-03-22 00:00:00,
PRD1112,Product_25,Furniture,Premium,,M4602,White,L,15.34,651.96,,,,invalid_date,12.0,Y,N,,2025-02-27 00:00:00,ERP
PRD1027,,,Small,Living&Co,M490,White,S,17.32,,,,2024-02-12,2024-03-23,,N,N,,invalid_ts,PIM
PRD1010,Product_27,Furniture,,Living&Co,M3554,,S,16.06,528.66,,,2025-02-12,,24.0,N,N,invalid_date,invalid_ts,ERP
PRD1048,,Home,,Briscoe,,White,L,17.97,346.72,,SUP26,2025-10-31,2024-06-16,36.0,Y,N,2024-02-17,,
PRD1083,,,Small,Other,,White,L,1.32,1265.24,2231.11,SUP69,,invalid_date,36.0,Y,N,,2024-05-13 00:00:00,
PRD1117,Product_30,Home,Small,Briscoe,,White,,5.53,,,SUP195,2025-11-23,invalid_date,36.0,,Y,,,PIM
PRD1034,Product_31,Furniture,,Briscoe,M4110,,S,17.98,1295.63,1080.76,,invalid_date,invalid_date,,N,N,invalid_date,,ERP
PRD1160,Product_32,Furniture,Large,Briscoe,,Black,L,,1052.64,1810.55,,,invalid_date,36.0,Y,N,,invalid_ts,PIM
PRD1098,,,Small,Briscoe,M590,,M,,,,,2024-08-14,invalid_date,36.0,,N,invalid_date,,ERP
PRD1060,Product_34,Furniture,Premium,Other,M1953,White,M,10.38,177.22,,,invalid_date,2024-04-01,12.0,,Y,invalid_date,invalid_ts,ERP
PRD1041,Product_35,Furniture,,Other,,Red,L,5.31,604.57,2837.39,SUP36,,,12.0,Y,,invalid_date,2024-02-07 00:00:00,ERP
PRD1035,,Electronics,,,,White,M,,424.71,,SUP107,2024-04-25,invalid_date,36.0,Y,,invalid_date,invalid_ts,
PRD1095,Product_37,Furniture,Small,Other,M661,,,8.99,440.45,,,2025-11-16,2024-02-26,36.0,Y,,2025-10-25,2025-08-30 00:00:00,PIM
PRD1046,Product_38,,Premium,Other,M1518,,,,347.11,,SUP13,,invalid_date,,Y,Y,invalid_date,invalid_ts,ERP
PRD1122,Product_39,Electronics,Small,Living&Co,,White,M,1.63,314.6,236.47,SUP54,2024-08-17,invalid_date,12.0,,Y,invalid_date,2024-02-12 00:00:00,
PRD1135,,Home,,Briscoe,,Red,M,,,,SUP130,,invalid_date,24.0,N,Y,,2024-10-13 00:00:00,PIM
PRD1058,Product_41,Furniture,Small,Other,M3980,Red,S,,,2493.44,,2024-09-24,invalid_date,,N,,,invalid_ts,ERP
PRD1115,,Kitchen,,Other,M4929,,,,,778.98,SUP131,2025-02-18,,,,Y,invalid_date,2024-08-26 00:00:00,ERP
PRD1042,,Home,,Living&Co,,White,M,,1052.43,,,2025-04-12,invalid_date,12.0,N,,2025-02-15,2024-05-26 00:00:00,
PRD1158,,,,,M4337,Black,S,19.16,1403.67,2824.58,,2024-07-01,,12.0,,,invalid_date,2024-10-14 00:00:00,ERP
PRD1036,,Home,Small,Briscoe,,White,,,,,SUP30,invalid_date,invalid_date,,N,,,,
PRD1137,Product_46,Electronics,Premium,Briscoe,,Red,,,,,,,,36.0,N,,2025-10-11,2024-11-29 00:00:00,PIM
PRD1093,Product_47,Electronics,Small,Other,,Red,S,,,1302.88,,invalid_date,2024-10-19,36.0,,Y,invalid_date,2024-11-10 00:00:00,PIM
PRD1014,,Home,Premium,Living&Co,M3653,White,,,,,,2024-12-28,,,,,invalid_date,invalid_ts,
PRD1116,Product_49,,Large,Living&Co,M334,,,,928.88,,,,2025-10-28,12.0,,,,2024-05-09 00:00:00,
PRD1070,,,Premium,Other,M1462,,S,,1151.3,,SUP2,,,36.0,,,,invalid_ts,ERP
PRD1054,,,Large,Other,,Red,L,11.83,,,SUP115,2024-01-31,2024-01-17,36.0,,Y,invalid_date,invalid_ts,
PRD1049,,,Large,,,White,M,14.76,379.7,478.46,SUP71,2025-05-25,2025-10-28,,,,2024-04-22,invalid_ts,ERP
PRD1029,,Kitchen,,Briscoe,M2565,Black,L,,118.55,1508.77,,2025-07-16,2024-01-05,36.0,Y,Y,,invalid_ts,ERP
PRD1067,Product_54,Kitchen,,Briscoe,,White,L,3.76,298.52,750.18,,invalid_date,2024-09-19,12.0,N,N,,2025-04-13 00:00:00,PIM
PRD1002,,Electronics,Large,Other,,Red,S,,1320.06,2376.11,SUP88,2025-08-29,2025-10-16,36.0,Y,N,,2024-01-29 00:00:00,
PRD1193,Product_56,,Premium,,M4831,White,S,,,697.98,SUP188,2025-01-27,,,Y,N,,invalid_ts,PIM
PRD1038,,Kitchen,Premium,Living&Co,,,L,,,,,invalid_date,invalid_date,36.0,N,,2025-01-24,2024-01-05 00:00:00,PIM
PRD1155,,Kitchen,Small,Other,,White,M,,624.87,1005.45,,invalid_date,,36.0,N,Y,,,
PRD1056,,Home,,Other,M4115,Black,S,9.74,452.26,1415.19,SUP175,,,36.0,N,,invalid_date,invalid_ts,PIM
