store_id,store_name,city,state,country,store_type,manager_id,open_date,close_date,store_size_sqft,no_of_staff,rent_cost,revenue_target,is_active,renovation_flag,last_renovation_date,latitude,longitude,load_date,source_system
STR028,,Hamilton,South,,,MGR462,2025-03-29,,5085.0,26.0,,,N,,,-38.544333,165.003585,,ERP
STR028,,Auckland,,NZ,Physical,,,2025-07-23,,6.0,,239183.46,,Y,2024-05-20,,,,CRM
STR026,Store_2,Wellington,South,NZ,Ecommerce,MGR264,invalid_date,invalid_date,8433.0,27.0,36256.09,,N,Y,2024-12-12,45.972963,,invalid_date,ERP
STR012,Store_3,Wellington,South,,,MGR265,2024-11-07,2025-07-15,,21.0,,,N,Y,2025-02-01,,,2025-09-13,
STR018,,Auckland,South,,Physical,,invalid_date,invalid_date,,,38434.31,,N,Y,2024-08-17,-73.497614,39.298851,invalid_date,CRM
STR010,Store_5,Hamilton,North,,Ecommerce,,invalid_date,2025-08-14,,,,419860.35,N,N,2024-03-28,,-159.649555,invalid_date,
STR004,,Hamilton,North,AU,Physical,,invalid_date,,3190.0,49.0,,174584.79,Y,,2025-02-19,-1.469609,157.628757,invalid_date,ERP
STR018,,Christchurch,,AU,Physical,MGR160,2024-10-07,,2499.0,,31025.97,,,,,,,invalid_date,ERP
STR007,,Christchurch,,NZ,Physical,MGR312,,2025-05-08,,,16924.79,,N,Y,,,,2025-06-03,CRM
STR030,,Auckland,North,,Physical,MGR447,2024-10-25,,9819.0,28.0,45352.61,370021.71,N,Y,2024-02-19,,,,
STR014,,Christchurch,South,NZ,,MGR262,2024-08-17,invalid_date,,,11569.1,337932.57,N,N,invalid_date,,,invalid_date,CRM
STR005,,Hamilton,North,NZ,Physical,,,invalid_date,,7.0,20607.58,304569.98,N,N,2025-11-07,,-34.392649,2024-01-10,ERP
STR027,Store_12,,North,AU,Physical,,invalid_date,invalid_date,,19.0,6272.71,228511.4,,N,2024-08-23,43.041766,,,CRM
STR023,,Wellington,North,AU,,,2025-08-27,2025-03-17,1338.0,,,,Y,N,2025-01-05,-71.783293,,invalid_date,CRM
STR025,,Hamilton,North,NZ,,MGR381,,invalid_date,,,34389.47,306596.18,,N,2024-10-06,,68.829838,2025-05-28,CRM
STR016,Store_15,Hamilton,North,AU,Physical,MGR156,,2024-10-08,,,10203.3,334112.08,N,,,63.265815,-136.657156,invalid_date,
STR010,Store_16,Auckland,,,Ecommerce,MGR394,2024-05-29,2024-02-22,5863.0,,26759.54,,,,,69.063032,124.272945,invalid_date,
STR020,Store_17,,South,AU,Physical,,2025-04-28,invalid_date,,32.0,,393334.91,Y,Y,,16.052338,104.152559,,ERP
STR010,,Christchurch,,NZ,Ecommerce,MGR316,,2024-07-27,3216.0,15.0,,148292.75,,Y,2024-04-29,,,invalid_date,CRM
STR020,Store_19,Wellington,,,Physical,,,2025-07-18,,39.0,32261.94,,N,Y,,24.539814,-80.397957,2025-10-01,ERP
STR012,Store_20,,South,,Ecommerce,,2024-07-29,invalid_date,,,23842.55,,N,,invalid_date,19.825318,,2025-08-01,CRM
STR026,,Christchurch,,,Physical,,invalid_date,invalid_date,2170.0,23.0,29248.94,124919.53,Y,N,invalid_date,,,2024-03-24,
STR023,,,South,AU,Physical,MGR7,2025-11-10,invalid_date,,14.0,,480807.65,N,,invalid_date,-6.559068,,invalid_date,ERP
